antibiotic,sample.id.ifapp,AMS method,study,type,subtype,subsubtype,location,season,wind,distance.m,air.method,strain.type,strain.number,whatisA,whatisN,whatisB,N,B,ampicillin,erythromycin,oxytetracycline,penicillin,tetracycline,tylosin,minocyclin,gentamicin,streptomycin,clindamycin,virginiamycin,vancomycin,teicoplanin,quinupristin/dalfopristin,ciprofloxacin,chloramphenicol,lincomycin,oxacillin,bacitracin,nalidixic acid,novobiocin,trimethoprim/sulfamethoxazole,tobramycin,amoxicillin/clavulanate,cefaclor,cefepime,netilmicin,pefloxacin,rifampicin,nitrofurantoin,pristinamycin,doxycycline,imipenem,norfloxacin,ticarcillin,piperacillin/tazobactam,cefalotin,cefoxitin,cefuroxime,ceftazidime,amikacin,kanamycin,methicillin,cefotaxime,cefpodoxime,aztreonam,ceftriaxone,cefotetan,cefazolin,sulbactam/ampicillin,ertapenem,amoxicillin,meropenem,colistin.sulfate,cefamandole,piperacillin,mupirocin
data,21,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,downwind,25,Andersen-2,coliforms,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,6,6,3,2,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,22,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,downwind,50,Andersen-2,coliforms,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,7,6,5,5,1,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,23,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,downwind,100,Andersen-2,coliforms,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,0,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,24,diskdiffusion,gibbs2006,pig,finishing,North Carolina,USA,June-July,downwind,150,Andersen-2,coliforms,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,2,6,2,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,1,diskdiffusion,vela2012,poultry,broiler,Ontario,Canada,NR,inside,0,MAS-100,staphyloccus.xylosus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,84,10,23,10,,59,18,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,39,36,9,73,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,1,diskdiffusion,ferguson2016,pig,NR,Midwest,USA,NR,inside,0,Andersen-6,staphyloccus.aureus,t034,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,4,NA,0,NA,NA,1,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,2,diskdiffusion,ferguson2016,pig,NR,Midwest,USA,NR,inside,0,Andersen-6,staphyloccus.aureus,t034,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,4,NA,0,NA,NA,1,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,3,diskdiffusion,ferguson2016,pig,NR,Midwest,USA,NR,inside,0,Andersen-6,staphyloccus.aureus,t034,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,4,NA,0,NA,NA,1,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,4,diskdiffusion,ferguson2016,pig,NR,Midwest,USA,NR,inside,0,Andersen-6,staphyloccus.aureus,t035,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,4,NA,0,NA,NA,1,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,5,diskdiffusion,ferguson2016,pig,NR,Midwest,USA,NR,wall exhausted air,1,Andersen-6,staphyloccus.aureus,t5706,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,4,NA,0,NA,NA,1,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,6,diskdiffusion,ferguson2016,pig,NR,Midwest,USA,NR,pit fan exhausted air,1,Andersen-6,staphyloccus.aureus,t5706,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,4,NA,0,NA,NA,1,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,7,diskdiffusion,ferguson2016,pig,NR,Midwest,USA,NR,wall exhausted air,1,Andersen-6,staphyloccus.aureus,t034,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,4,NA,0,NA,NA,1,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,8,diskdiffusion,ferguson2016,pig,NR,Midwest,USA,NR,pit fan exhausted air,1,Andersen-6,staphyloccus.aureus,t008,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,4,NA,0,NA,NA,1,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,1,liquiddilution,navajasbenito2017,cow,feedyard,undisclosed,Spain,NR,inside,0,Petri,eschericia.coli,P20,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,9,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,2,liquiddilution,navajasbenito2017,cow,feedyard,undisclosed,Spain,NR,downwind,50,Petri,eschericia.coli,ESTE42,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,9,1,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,3,liquiddilution,navajasbenito2017,cow,feedyard,undisclosed,Spain,NR,downwind,100,Petri,eschericia.coli,ESTE50 a,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,9,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,4,liquiddilution,navajasbenito2017,cow,feedyard,undisclosed,Spain,NR,downwind,100,Petri,eschericia.coli,ESTE51,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,9,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,5,liquiddilution,navajasbenito2017,cow,feedyard,undisclosed,Spain,NR,inside,0,Petri,eschericia.coli,ZO6,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,9,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,6,liquiddilution,navajasbenito2017,cow,feedyard,undisclosed,Spain,NR,inside,0,Petri,eschericia.coli,ZO08,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,9,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,7,liquiddilution,navajasbenito2017,cow,feedyard,undisclosed,Spain,NR,inside,0,Petri,eschericia.coli,ZO10,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,9,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,8,liquiddilution,navajasbenito2017,cow,feedyard,undisclosed,Spain,NR,inside,0,Petri,eschericia.coli,ZO20,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,9,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,9,liquiddilution,navajasbenito2017,cow,feedyard,undisclosed,Spain,NR,inside,0,Petri,eschericia.coli,ZO22,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,9,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,1,diskdiffusion,alvarado2012,cow,feedyard,US-Mexico border,Mexico,4/29/06,upwind,-100,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,3,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,2,diskdiffusion,alvarado2012,cow,feedyard,US-Mexico border,Mexico,08/12/06,upwind,-100,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,3,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,3,diskdiffusion,alvarado2012,cow,feedyard,US-Mexico border,Mexico,11/04/06,upwind,-100,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,16,3,12,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,4,diskdiffusion,alvarado2012,cow,feedyard,US-Mexico border,Mexico,4/29/06,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,6,3,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,5,diskdiffusion,alvarado2012,cow,feedyard,US-Mexico border,Mexico,8/17/06,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,17,3,13,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,6,diskdiffusion,alvarado2012,cow,feedyard,US-Mexico border,Mexico,11/04/06,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,20,3,15,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,7,diskdiffusion,alvarado2012,cow,feedyard,US-Mexico border,Mexico,4/29/06,downwind,50,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,2,3,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,8,diskdiffusion,alvarado2012,cow,feedyard,US-Mexico border,Mexico,08/12/06,downwind,50,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,14,3,8,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,9,diskdiffusion,alvarado2012,cow,feedyard,US-Mexico border,Mexico,11/04/06,downwind,50,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,7,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,1,diskdiffusion,alvarado2009,cow,feedyard,Southwest,USA,Spring,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,37,3,20,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,2,diskdiffusion,alvarado2009,cow,feedyard,Southwest,USA,Summer,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,43,3,36,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,3,diskdiffusion,alvarado2009,cow,feedyard,Southwest,USA,Fall,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,35,3,31,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,1,diskdiffusion,zhou2013,urban,metro station,Shanghai,China,NR,inside,0,Petri,staphylococcus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,50,16,10,15,NA,14,3,NA,NA,0,NA,12,NA,0,NA,NA,1,NA,NA,11,NA,NA,NA,22,NA,4,NA,0,0,14,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,2,diskdiffusion,zhou2013,urban,hospital,Shanghai,China,NR,inside,0,Petri,staphylococcus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,52,16,19,16,NA,20,3,NA,NA,0,NA,12,NA,0,NA,NA,1,NA,NA,11,NA,NA,NA,NA,NA,10,NA,1,0,5,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,3,diskdiffusion,zhou2013,urban,park,Shanghai,China,NR,outside,0,Petri,staphylococcus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,36,16,5,4,NA,9,1,NA,NA,1,NA,7,NA,0,NA,NA,3,NA,NA,13,NA,NA,NA,11,NA,0,NA,0,0,10,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,MRB05,diskdiffusion,yadav2015,urban,tradefair,Gwalior,India,January-February,outside,0,Reuter Centrifugal Sampler,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,9,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,MRB07,diskdiffusion,yadav2015,urban,tradefair,Gwalior,India,January-February,outside,0,Reuter Centrifugal Sampler,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,9,NA,1,NA,NA,0,NA,NA,NA,NA,1,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,MRB11,diskdiffusion,yadav2015,urban,tradefair,Gwalior,India,January-February,outside,0,Reuter Centrifugal Sampler,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,9,NA,1,NA,NA,0,NA,NA,NA,NA,1,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,MRB12,diskdiffusion,yadav2015,urban,tradefair,Gwalior,India,January-February,outside,0,Reuter Centrifugal Sampler,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,9,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,MRB24,diskdiffusion,yadav2015,urban,tradefair,Gwalior,India,January-February,outside,0,Reuter Centrifugal Sampler,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,9,NA,1,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,MRB29,diskdiffusion,yadav2015,urban,tradefair,Gwalior,India,January-February,outside,0,Reuter Centrifugal Sampler,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,9,NA,1,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,MRB34,diskdiffusion,yadav2015,urban,tradefair,Gwalior,India,January-February,outside,0,Reuter Centrifugal Sampler,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,9,NA,1,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,MRB43,diskdiffusion,yadav2015,urban,tradefair,Gwalior,India,January-February,outside,0,Reuter Centrifugal Sampler,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,9,NA,1,NA,NA,0,NA,NA,NA,NA,1,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,1,diskdiffusion,sivri2016,urban,metro station,Taksim,Istanbul,April,inside,0,SAMPL'AIR,staphylococcus.hominis,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,10,NA,NA,NA,1,1,NA,NA,0,0,1,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,2,diskdiffusion,sivri2016,urban,metro station,Avcilar,Istanbul,January,inside,0,SAMPL'AIR,staphylococcus.hominis,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,10,NA,NA,NA,1,1,NA,NA,0,0,0,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,3,diskdiffusion,sivri2016,urban,metro station,Eminonu,Istanbul,June,inside,0,SAMPL'AIR,staphylococcus.hominis,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,10,NA,NA,NA,1,1,NA,NA,0,0,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,4,diskdiffusion,sivri2016,urban,metro station,Taksim,Istanbul,August,inside,0,SAMPL'AIR,staphylococcus.hominis,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,10,NA,NA,NA,1,1,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
